date,arrivals_forecast,scenario,svr_contribution,tsformer_contribution,svr_contribution_pct,tsformer_contribution_pct,svr_raw_prediction,tsformer_raw_prediction,economic_indicators_pct,exchange_rates_pct,events_pct,weather_pct,google_trends_pct
2026-01,290498.93460211944,Baseline,215589.79666266634,74909.14,74.21362730914932,25.786373615310833,375228.99990650837,176072.55,0.14972830385262537,0.01642710472280484,0.25806451612903225,-7.9459676160885895,1.2199228692577169
2026-02,262792.6206086845,Baseline,194876.40430009074,67916.22,74.15596520507877,25.844035723945126,339177.8248453731,159635.81,0.424131802693295,0.048733744010975855,0.0,-9.042686333525452,1.6973857858122665
2026-03,290727.8756534785,Baseline,215715.74113199415,75012.13,74.19850629979078,25.801493112379674,375448.20331038546,176314.62,0.6993117467956056,0.08104038329912466,0.0,-4.048278099889457,2.177139291717234
2026-04,280699.3239712671,Baseline,208664.29784822022,72035.02,74.33729974696323,25.662699296302417,363175.3311604664,169317.0,0.9846159166664759,0.11444216290215081,0.0,2.2921535980935603,2.675508786222447
2026-05,289707.7806122071,Baseline,215761.18442080083,73946.59,74.4754538400235,25.524545317263115,375527.2962919428,173810.11,1.2707453417482695,0.14784394250517696,0.5161290322580645,11.260238235510567,3.1763224285346725
2026-06,279967.0952660522,Baseline,208626.5300805053,71340.56,74.51823218090966,25.481766859853728,363109.59724389086,167684.67,1.5576934001551468,0.1812457221081587,0.26666666666666666,9.153185543162735,3.679565443655819
2026-07,289403.716813572,Baseline,215627.21388388445,73776.5,74.50741001463611,25.492588973045333,375294.1237051032,173410.3,1.8454714687948126,0.21464750171118485,0.0,5.2890863194377635,4.185276507735325
2026-08,289658.1254912045,Baseline,215804.21435839203,73853.914,74.50307633953979,25.496924671889648,375602.18889214157,173592.25,2.1388132744952992,0.24859685147162747,0.0,5.664130864285877,4.701798761917808
2026-09,280291.7041402766,Baseline,208798.33329066724,71493.37,74.49322623768083,25.506772455784127,363408.6167138645,168043.84,2.428258573063946,0.2819986310746314,0.0,8.341831880569138,5.212482295284193
2026-10,289757.69680018385,Baseline,215799.3906478401,73958.305,74.4758096267775,25.524189867681567,375593.79333671986,173837.62,2.7185411052453867,0.31540041067763536,0.25806451612903225,12.637961874222881,5.725670368057423
2026-11,280666.27581769036,Baseline,209005.02386456536,71661.25,74.46745187167649,25.53254743243477,363768.3568246418,168438.44,3.009654153038732,0.3488021902806615,0.0,12.517197233997068,6.241347840169098
2026-12,290559.7158325849,Baseline,216074.7099732099,74485.01,74.36499218553342,25.63500848666058,376072.98018467205,175075.62,3.301609258484972,0.38220396988366545,0.0,2.41586962814635,6.759554343404206
2027-01,290646.5174023282,Baseline,215702.3045117032,74944.21,74.21465305676335,25.785346271243387,375424.8171869606,176154.98,3.5992088574395176,0.41615331964408586,0.0,-7.9459676160885895,7.288839166686123
2027-02,263178.8691856289,Baseline,195331.42582625386,67847.445,74.22002626224527,25.779974479883077,339969.779171789,159474.16,3.883209791434772,0.44845995893223467,0.2857142857142857,-9.042686333525452,7.794929673477369
2027-03,291053.14434184873,Baseline,216094.4077695831,74958.734,74.24568741843764,25.754311826626143,376107.26373866166,176189.12,4.1680143273536086,0.4807665982204057,0.0,-4.048278099889457,8.303448108145407
2027-04,281129.40307578736,Baseline,209149.9614253967,71979.445,74.39633106218125,25.603670240460634,364020.6172601611,169186.34,4.46329719021219,0.5141683778234096,0.0,2.2921535980935603,8.8316987037383
2027-05,290081.58211695665,Baseline,216208.55916773793,73873.02,74.53370792791864,25.46629224040687,376305.9415779222,173637.17,4.759434172102273,0.547570157426458,0.5161290322580645,11.260238235510567,9.362539992680219
2027-06,280449.254182425,Baseline,209174.26736601876,71274.984,74.58542472356025,25.4145744059057,364062.9211814625,167530.53,5.056418419533459,0.5809719370294397,0.26666666666666666,9.153185543162735,9.895956314097809
2027-07,289904.4540175544,Baseline,216176.81168357,73727.64,74.56829610161145,25.431703308889354,376250.68582408654,173295.45,5.354261707327956,0.6143737166324437,0.0,5.2890863194377635,10.43198866307442
2027-08,290041.4392677061,Baseline,216254.48687512797,73786.95,74.55985855715144,25.440141695371736,376385.87767869665,173434.86,5.657863327390289,0.6483230663929085,0.0,5.664130864285877,10.979480416516862
2027-09,280722.0401234474,Baseline,209286.5056996193,71435.53,74.5529298688431,25.44706900056235,364258.2693765999,167907.9,5.957432157530307,0.6817248459959346,0.0,8.341831880569138,11.520783372726328
2027-10,290333.0291508152,Baseline,216439.51499065896,73893.516,74.54870554125903,25.45129496328011,376707.91478722414,173685.33,6.257867504055992,0.7151266255989386,0.25806451612903225,12.637961874222881,12.06474103482753
2027-11,280943.5748768449,Baseline,209358.22331434488,71585.35,74.51966944113944,25.480330558860558,364383.09220804065,168260.05,6.559162413999986,0.7485284052019203,0.26666666666666666,12.517197233997068,12.611337354988073
2027-12,291021.151025028,Baseline,216586.64345666865,74434.51,74.42299045750185,25.577009626389174,376963.9884419759,174956.94,6.861328833093472,0.7819301848049687,0.0,2.41586962814635,13.160614341224663
2028-01,291078.6431205609,Baseline,216229.8879936078,74848.76,74.28572762174387,25.714273300875128,376343.06390061195,175930.61,7.169337165409906,0.8158795345654113,0.0,-7.9459676160885895,13.721633878374572
2028-02,272888.150089623,Baseline,202666.06366384175,70222.086,74.26708107232996,25.73291874873914,352735.5448206191,165055.72,7.468262535066517,0.8487337440109544,0.0,-9.042686333525452,14.267189575766515
2028-03,291494.2364775379,Baseline,216588.181057616,74906.055,74.30273190815076,25.697267840584608,376966.6646004707,176065.3,7.768043148015313,0.8815879534565862,0.25806451612903225,-4.048278099889457,14.815391683117806
2028-04,281668.6155227033,Baseline,209756.06278832827,71912.555,74.46909283772204,25.530907855690316,365075.52250973857,169029.12,8.073682500516322,0.914989733059568,0.0,2.2921535980935603,15.375404315211295
2028-05,290275.4483367063,Baseline,216466.88803397195,73808.56,74.5729235022592,25.427077254699622,376755.55692904035,173485.66,8.380205928663331,0.9483915126625719,0.0,11.260238235510567,15.938163410845796
2028-06,280832.6262571999,Baseline,209595.0557005593,71237.57,74.63344216586934,25.366557747196094,364795.2934383417,167442.6,8.68760633859278,0.9817932922655759,0.26666666666666666,9.153185543162735,16.503652367509215
2028-07,290356.5206682231,Baseline,216692.7528459575,73663.766,74.62989029737074,25.370108945881796,377148.6693528533,173145.31,8.995895918106477,1.015195071868602,0.0,5.2890863194377635,17.07191464518958
2028-08,290339.14125506923,Baseline,216616.461079288,73722.68,74.60808079231238,25.391919039511464,377015.88531691267,173283.8,9.310145792534662,1.0491444216290446,0.0,5.664130864285877,17.652325345059474
2028-09,281153.2011948506,Baseline,209762.09719094436,71391.1,74.60775701627907,25.392242115366514,365086.02524638805,167803.47,9.620221434538067,1.0825462012320486,0.26666666666666666,8.341831880569138,18.22617513490512
2028-10,290573.90764281957,Baseline,216766.38615844457,73807.52,74.59939810731355,25.400602564847624,377276.8264114527,173483.2,9.931193984355469,1.115947980835097,0.0,12.637961874222881,18.80283924970618
2028-11,281376.39365959895,Baseline,209841.70908928645,71534.69,74.57687063227732,25.42313040892144,365224.5878938695,168140.95,10.243056245157334,1.1493497604380787,0.0,12.517197233997068,19.382300676724817
2028-12,291595.53511431854,Baseline,217205.0404854123,74390.49,74.48846581284523,25.511533349897004,378040.2940103869,174853.47,10.555820581648856,1.1827515400410604,0.0,2.41586962814635,19.964603949786806
2029-01,291510.418576119,Baseline,216784.0047577596,74726.414,74.36578281374636,25.634217270003845,377307.49117158086,175643.05,10.874631725454353,1.2167008898015252,0.25806451612903225,-7.9459676160885895,20.559355816185644
2029-02,263797.6339761037,Baseline,196047.17450344743,67750.46,74.31726037436958,25.682740180921122,341215.5230079316,159246.2,11.178874953358342,1.249007529089674,0.0,-9.042686333525452,21.128044469705777
2029-03,291816.80383953126,Baseline,216988.33118328126,74828.47,74.35772317710743,25.642275484295908,377663.1165373904,175882.94,11.483979060273297,1.2813141683778229,0.0,-4.048278099889457,21.69946136059957
2029-04,281838.60505232966,Baseline,209994.93732772025,71843.664,74.50893297202134,25.491065728614647,365491.27805989305,168867.2,11.800308341578813,1.314715947980849,0.0,2.2921535980935603,22.293051076070824
2029-05,290619.5442809908,Baseline,216871.2032165377,73748.34,74.62375035825252,25.376250565823984,377459.25805010286,173344.11,12.117552619632765,1.3481177275838307,0.25806451612903225,11.260238235510567,22.889551926788833
2029-06,281169.5615723822,Baseline,209993.26787121035,71176.3,74.68563335834317,25.314367770451884,365488.3724098748,167298.56,12.435704552459171,1.381519507186879,0.26666666666666666,9.153185543162735,23.488946314792504
2029-07,290586.2660423115,Baseline,216993.40862043647,73592.86,74.67435112327044,25.32564954886214,377671.9536980322,172978.64,12.754776754135966,1.4149212867899053,0.0,5.2890863194377635,24.09128030583192
2029-08,290648.78457509086,Baseline,216978.55142079396,73670.234,74.65317693930912,25.346823480683383,377646.09508946363,173160.52,13.080017715794835,1.4488706365503257,0.0,5.664130864285877,24.706491110817417
2029-09,281564.04598192574,Baseline,210234.2969584882,71329.75,74.66659893500169,25.33340141183325,365907.87790024444,167659.25,13.400938448621513,1.4822724161533074,0.0,8.341831880569138,25.31474762853985
2029-10,290735.7999994835,Baseline,216995.64985299914,73740.15,74.6367147951455,25.36328461704097,377675.8545109002,173324.86,13.72278745917772,1.5156741957563336,0.25806451612903225,12.637961874222881,25.925987211739333
2029-11,281667.3992491811,Baseline,210182.3787413686,71485.02,74.62076878674473,25.379232253378305,365817.5154573631,168024.22,14.045557298920318,1.549075975359382,0.5333333333333333,12.517197233997068,26.54019182763303
2029-12,291966.9250456373,Baseline,217675.47607102795,74291.445,74.55484077074934,25.445157974961553,378859.07614684955,174620.67,14.36926076501781,1.5824777549623636,0.25806451612903225,2.41586962814635,27.157408680193562
2030-01,291887.95185465633,Baseline,217238.28974528133,74649.664,74.42523350653873,25.57476716259646,378098.16356971406,175462.64,14.699222529322542,1.616427104722784,0.0,-7.9459676160885895,27.787820515426564
2030-02,264089.2672988872,Baseline,196411.8112441997,67677.45,74.37326524213023,25.626733648514755,341850.1647288277,159074.61,15.014106855694198,1.6487337440109773,0.2857142857142857,-9.042686333525452,28.39060644683109
2030-03,292300.2148432558,Baseline,217527.85473583394,74772.36,74.41932769446711,25.580672054961102,378602.14466480736,175751.05,15.329882170862286,1.6810403832991039,0.0,-4.048278099889457,28.99628419451541
2030-04,282042.54927107535,Baseline,210251.180374591,71791.37,74.54590838083634,25.454091013232276,365937.26309118257,168744.28,15.657275267963389,1.71444216290213,0.0,2.2921535980935603,29.625464198895134
2030-05,290981.64556001825,Baseline,217282.93584322135,73698.71,74.6723854094104,25.327615010101663,378175.8690592089,173227.45,15.98561536440033,1.7478439425051562,0.0,11.260238235510567,30.257729883568054
2030-06,281631.13989422115,Baseline,210513.123048518,71118.016,74.7478148643596,25.252184702200005,366393.1681900879,167161.58,16.31489486140689,1.7812457221081601,0.0,9.153185543162735,30.893062595439467
2030-07,290783.197176908,Baseline,217272.31485268925,73510.88,74.71969390325677,25.28030626466257,378157.3834735408,172785.97,16.645126814246346,1.8146475017111863,0.0,5.2890863194377635,31.531511162257008
2030-08,291043.76147844346,Baseline,217427.76489641223,73616.0,74.70621043100981,25.2937907433733,378427.94063971716,173033.03,16.981743283332527,1.8485968514716067,0.25806451612903225,5.664130864285877,32.183608607489724
2030-09,281785.29936599114,Baseline,210521.02519606927,71264.27,74.70972604665167,25.290273693426368,366406.9216931232,167505.36,17.31388842086281,1.8819986310746328,0.26666666666666666,8.341831880569138,32.82833480221623
2030-10,291129.3510251945,Baseline,217449.82587871017,73679.52,74.69182516739507,25.308174245586024,378466.3372635498,173182.36,17.646994303220744,1.9154004106776368,0.5161290322580645,12.637961874222881,33.47622292023931
2030-11,282046.0890337335,Baseline,210629.64054740532,71416.445,74.67915661195835,25.320842262754585,366595.9641723463,167863.03,17.9810532213456,1.9488021902806407,0.0,12.517197233997068,34.12725384757138
2030-12,292403.9078792864,Baseline,218198.056560927,74205.85,74.62214104573667,25.377859037757638,379768.61526990135,174419.48,18.31607841999505,1.9822039698836225,0.5161290322580645,2.41586962814635,34.781477618427935
